ID,id_rechov,me_k_rechov,me_shem_rechov,ad_k_rechov,ad_shem_rechov,tr_from,tr_to,k_sug,t_sug,k_sgira,shaot,sw_laila
370,2682,496,אבן גבירול,0,0,14/06/2019 0:00,14/06/2019 0:00,5,ארוע,2,"08:00-19:00 מצעד הגאווה סגירת הצומת לכוון מערב (נמל ת""א)",0
371,1725,478,פנקס דוד צבי,567,הא באייר,10/03/2017 0:00,10/03/2017 0:00,5,ארוע,2,10:00-18:00 מסיבת פורים בכיכר המדינה,0
372,4415,190,יהושע בן נון,1161,רמז דוד,02/11/2022 0:00,03/11/2022 0:00,5,ארוע,2,19:00-01:00 מרוץ לילה , חסימה מכיוון מזרח מרחוב רמז ומכיוון מערב מרחוב יהושוע בן נון.
373,4049,0,0,0,0,04/10/2020 0:00,12/10/2020 0:00,4,קרצוף וסלילה,2,09:00-17:00 ,0
374,2685,497,על פרשת דרכים,1311,דורי יעקב (רב אלוף),10/06/2019 0:00,24/06/2019 0:00,4,קרצוף וסלילה,3,22:00-05:00 חסימה חלקית בצד מזרח; 00:30-05:00 חסימה מלאה  בצד מזרח,1
375,2666,406,המלך ג'ורג',367,הבימה,14/06/2019 0:00,14/06/2019 0:00,5,ארוע,2,04:00-19:00 מצעד הגאווה,1
376,4310,2106,אשכול לוי,2222,ארצי יצחק,25/02/2022 0:00,25/02/2022 0:00,23,ארוע מרתון,2,"03:30-14:00 מרתון ת""א",1
377,2931,3367,אליפלט,3002,רזיאל דוד,30/03/2020 0:00,31/03/2020 0:00,21,"נת""ע – הרכבת הקלה",2,20:00-05:00 ,1
378,2749,2,הרצל,414,שלמה,18/10/2019 0:00,18/10/2019 0:00,5,ארוע,2,"04:00-13:00 סובב ת""א סובב אופניים",1
379,891,2051,רוקח ישראל,27,הירקון,27/02/2015 0:00,27/02/2015 0:00,5,ארוע,2,"04:00-13:00 אירוע מרתון ת""א",1
380,4489,3000,בן צבי,3489,קויפמן יחזקאל,24/02/2023 0:00,,23,ארוע מרתון,2,"04:00-14:00 מרתון ת""א ", חסימה מלאה
381,1226,204,בן גוריון,337,"ח""ן",31/10/2015 0:00,31/10/2015 0:00,5,ארוע,2,17:30-00:00 עצרת רבין,1
382,2581,496,אבן גבירול,2106,אשכול לוי,22/02/2019 0:00,22/02/2019 0:00,5,ארוע,2,05:00-14:00 מרתון סמסונג תל אביב 2019,1
